latitude,longitude,tile_x,tile_y,tile_z,road_name,Status
43.7276564,7.4192964,34118,23898,16,Avenue des Papalins,
43.7276721,7.4190183,34118,23898,16,Avenue des Papalins,
43.7275894,7.4197532,34118,23898,16,Avenue des Papalins,
43.7275785,7.4196904,34118,23898,16,,
43.7276543,7.4197567,34118,23898,16,,
43.7270348,7.4199648,34118,23899,16,,
43.7270386,7.4200153,34118,23899,16,,
43.7270285,7.4198761,34118,23899,16,,
43.7269777,7.4199857,34118,23899,16,Avenue des Papalins,
43.7269139,7.4200442,34118,23899,16,Avenue des Papalins,
43.7268629,7.4201212,34118,23899,16,Avenue des Papalins,
43.7267705,7.4203314,34118,23899,16,Avenue des Papalins,
43.7272061,7.4199434,34118,23899,16,Avenue des Papalins,
43.7273321,7.419921,34118,23899,16,Avenue des Papalins,
43.7274415,7.4198998,34118,23899,16,Avenue des Papalins,
43.727534,7.4198328,34118,23898,16,Avenue des Papalins,
43.7275693,7.4197959,34118,23898,16,Avenue des Papalins,
43.7267994,7.4203558,34118,23899,16,,
43.7267181,7.4202793,34118,23899,16,,
43.726668,7.4203703,34118,23899,16,,
43.7265926,7.4203933,34118,23899,16,,
43.7265528,7.4204317,34118,23899,16,,
43.7276332,7.421954,34119,23898,16,,
43.7276865,7.4220077,34119,23898,16,,
43.727615,7.4219311,34119,23898,16,,
43.7274795,7.4222046,34119,23898,16,Quai Jean-Charles Rey,
43.7274572,7.4222284,34119,23898,16,Quai Jean-Charles Rey,
43.727431,7.422237,34119,23899,16,Quai Jean-Charles Rey,
43.7285766,7.4194061,34118,23898,16,Quai Jean-Charles Rey,
43.7285874,7.4194479,34118,23898,16,Quai Jean-Charles Rey,
43.7285315,7.4194109,34118,23898,16,,
43.7298528,7.4172044,34118,23898,16,Quai Jean-Charles Rey,
43.7298718,7.4173406,34118,23898,16,Quai Jean-Charles Rey,
43.7298842,7.4171568,34118,23898,16,Avenue des Papalins,
43.7299202,7.4171095,34118,23898,16,Avenue des Papalins,
43.7299679,7.4170658,34118,23898,16,Avenue des Papalins,
43.7293685,7.4177071,34118,23898,16,Avenue des Papalins,
43.7294974,7.4176125,34118,23898,16,Avenue des Papalins,
43.729166,7.4178142,34118,23898,16,Avenue des Papalins,
43.7290513,7.4178449,34118,23898,16,Avenue des Papalins,
